sample	origin_id	id	well	concentration	rain_event	Env	soil_history	SourceSink	soil_layer	soil_event	sample_type	experiment_day	manure_and_control_soil
S_79	A072CoNtR3_S299_L001_MINLEN-MAXLEN.q25_fixlized.fa	A072CoNtR3	A11	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_8	A001CoNtR1_S289_L001_MINLEN-MAXLEN.q25_fixlized.fa	A001CoNtR1	A1	2.7371	R1	water	Nt	sink	x	x	sc_samples	10	no
S_80	A073CoNtR3_S300_L001_MINLEN-MAXLEN.q25_fixlized.fa	A073CoNtR3	A12	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_81	A074CoNtR3_S310_L001_MINLEN-MAXLEN.q25_fixlized.fa	A074CoNtR3	B10	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_82	A075CoNtR3_S311_L001_MINLEN-MAXLEN.q25_fixlized.fa	A075CoNtR3	B11	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_83	A076CoNtR3_S312_L001_MINLEN-MAXLEN.q25_fixlized.fa	A076CoNtR3	B12	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_84	A077CoNtR3_S322_L001_MINLEN-MAXLEN.q25_fixlized.fa	A077CoNtR3	C10	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_85	A078CoNtR3_S323_L001_MINLEN-MAXLEN.q25_fixlized.fa	A078CoNtR3	C11	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_86	A079CoCpR3_S334_L001_MINLEN-MAXLEN.q25_fixlized.fa	A079CoCpR3	D10	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_87	A080CoCpR3_S335_L001_MINLEN-MAXLEN.q25_fixlized.fa	A080CoCpR3	D11	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_88	A081CoCpR3_S336_L001_MINLEN-MAXLEN.q25_fixlized.fa	A081CoCpR3	D12	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_89	A082CoCpR3_S346_L001_MINLEN-MAXLEN.q25_fixlized.fa	A082CoCpR3	E10	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_9	A002CoNtR1_S290_L001_MINLEN-MAXLEN.q25_fixlized.fa	A002CoNtR1	A2	3.2825	R1	water	Nt	sink	x	x	sc_samples	10	no
S_90	A083CoCpR3_S347_L001_MINLEN-MAXLEN.q25_fixlized.fa	A083CoCpR3	E11	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_91	A084CoCpR3_S348_L001_MINLEN-MAXLEN.q25_fixlized.fa	A084CoCpR3	E12	6.7367	R3	water	Cp	sink	x	x	sc_samples	38	no
S_92	A085CoCpR3_S358_L001_MINLEN-MAXLEN.q25_fixlized.fa	A085CoCpR3	F10	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_93	A086CoCpR3_S359_L001_MINLEN-MAXLEN.q25_fixlized.fa	A086CoCpR3	F11	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_94	A087CoCpR3_S360_L001_MINLEN-MAXLEN.q25_fixlized.fa	A087CoCpR3	F12	10	R3	water	Cp	sink	x	x	sc_samples	38	no
S_95	A088MaNtR3_S370_L001_MINLEN-MAXLEN.q25_fixlized.fa	A088MaNtR3	G10	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_96	A089MaNtR3_S371_L001_MINLEN-MAXLEN.q25_fixlized.fa	A089MaNtR3	G11	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_97	A090MaNtR3_S372_L001_MINLEN-MAXLEN.q25_fixlized.fa	A090MaNtR3	G12	5.7469	R3	water	Nt	sink	x	x	sc_samples	38	no
S_98	A091MaNtR3_S382_L001_MINLEN-MAXLEN.q25_fixlized.fa	A091MaNtR3	H10	10	R3	water	Nt	sink	x	x	sc_samples	38	no
S_99	A092MaNtR3_S383_L001_MINLEN-MAXLEN.q25_fixlized.fa	A092MaNtR3	H11	10	R3	water	Nt	sink	x	x	sc_samples	38	no
